"","UNITID_P","INSTNM","BRANCH","Address","City","State","ZIP","sector_cd","Sector_desc","men_total","women_total","Total","MURD10","NEG_M10","FORCIB10","NONFOR10","ROBBE10","AGG_A10","BURGLA10","VEHIC10","ARSON10","MURD11","NEG_M11","FORCIB11","NONFOR11","ROBBE11","AGG_A11","BURGLA11","VEHIC11","ARSON11","MURD12","NEG_M12","FORCIB12","NONFOR12","ROBBE12","AGG_A12","BURGLA12","VEHIC12","ARSON12","FILTER10","FILTER11","FILTER12"
"0",100654001,"Alabama A & M University","Main Campus","4900 MERIDIAN ST","NORMAL","AL","35762",1,"Public, 4-year or above",2224,2629,4853,0,0,5,0,3,5,73,2,1,0,0,4,0,1,8,58,2,2,0,0,2,0,6,2,3,2,0,1,1,1
"1",100663001,"University of Alabama at Birmingham","Main Campus","ADMINISTRATION BLDG SUITE 1070, 701 20th Street So","BIRMINGHAM","AL","352940110",1,"Public, 4-year or above",7163,10836,17999,1,0,1,0,2,0,20,1,1,0,0,2,0,2,0,11,5,4,0,0,2,0,1,0,5,6,1,1,1,1
"2",100663002,"University of Alabama at Birmingham","Huntsville Regional Medical Campus","301 Governors Drive SW","Huntsville","AL","35801",1,"Public, 4-year or above",7163,10836,17999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"3",100690001,"Amridge University","Main Campus","1200 TAYLOR RD","MONTGOMERY","AL","361173553",2,"Private nonprofit, 4-year or above",321,382,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"4",100706001,"University of Alabama in Huntsville","Main Campus","301 SPARKMAN DR","HUNTSVILLE","AL","35899",1,"Public, 4-year or above",4207,3429,7636,3,0,0,0,1,3,24,3,0,0,0,4,0,1,1,38,2,0,0,0,3,0,0,1,22,0,0,1,1,1
"5",100724001,"Alabama State University","Main Campus","915 SOUTH JACKSON ST","MONTGOMERY","AL","361040271",1,"Public, 4-year or above",2276,3540,5816,0,0,0,0,5,1,34,0,0,0,0,1,0,0,5,23,2,0,0,0,1,0,1,8,45,0,0,1,1,1
"6",100751001,"The University of Alabama","Main Campus","1110 Jackson Ave","TUSCALOOSA","AL","354870180",1,"Public, 4-year or above",15246,18257,33503,0,0,9,0,7,3,46,4,1,0,0,3,0,5,3,68,2,1,0,0,7,0,3,7,43,5,4,1,1,1
"7",100751002,"The University of Alabama","University of Alabama Gadsden Center","P.O. Box 1280","Gadsden","AL","359021280",1,"Public, 4-year or above",15246,18257,33503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"8",100760001,"Central Alabama Community College","Alexander City Campus","1675 CHEROKEE RD","ALEXANDER CITY","AL","35010",4,"Public, 2-year",668,1353,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"9",100760002,"Central Alabama Community College","Childersburg Campus","34091 Highway 280","Childersburg","AL","35044",4,"Public, 2-year",668,1353,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
